id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,green_energy
1728,on,2030,legislated,ref,ref,ref,ref,no,high,72.81025146,fossil fuel
1732,on,2030,legislated,low,ref,ref,ref,no,high,71.98082874,fossil fuel
1736,on,2030,legislated,low,ref,ref,ref,yes,high,71.98082874,fossil fuel
1740,on,2030,legislated,low,high,ref,low,yes,high,73.47591782,fossil fuel
1744,on,2030,legislated,high,high,ref,low,yes,high,73.4692895,fossil fuel
1748,on,2030,legislated,ref,high,low,low,yes,high,73.10736891,fossil fuel
1752,on,2030,legislated,low,high,low,low,yes,high,73.4840285,fossil fuel
1756,on,2030,legislated,high,high,low,low,yes,high,73.43084586,fossil fuel
1760,on,2030,legislated,ref,high,high,low,yes,high,73.11779904,fossil fuel
1764,on,2030,legislated,low,high,high,low,yes,high,73.47876332,fossil fuel
1768,on,2030,legislated,high,high,high,low,yes,high,73.49579421,fossil fuel
1772,on,2030,legislated,high,ref,ref,ref,yes,high,72.9697071,fossil fuel
1776,on,2030,legislated,ref,ref,low,ref,yes,high,72.78518301,fossil fuel
1780,on,2030,legislated,low,ref,low,ref,yes,high,71.95426828,fossil fuel
1784,on,2030,legislated,high,ref,low,ref,yes,high,72.95522984,fossil fuel
1788,on,2030,legislated,ref,ref,high,ref,yes,high,72.81533816,fossil fuel
1792,on,2030,legislated,low,ref,high,ref,yes,high,71.98430371,fossil fuel
1796,on,2030,legislated,high,ref,high,ref,yes,high,72.96938653,fossil fuel
1800,on,2030,legislated,ref,low,ref,ref,no,high,72.8235344,fossil fuel
1804,on,2030,legislated,low,low,ref,ref,no,high,71.98501927,fossil fuel
1808,on,2030,legislated,high,ref,ref,ref,no,high,72.9697071,fossil fuel
1812,on,2030,legislated,high,low,ref,ref,no,high,74.02410502,fossil fuel
1816,on,2030,legislated,ref,low,low,ref,no,high,72.79825797,fossil fuel
1820,on,2030,legislated,low,low,low,ref,no,high,71.96074255,fossil fuel
1824,on,2030,legislated,high,low,low,ref,no,high,73.96721003,fossil fuel
1828,on,2030,legislated,ref,low,high,ref,no,high,72.82873836,fossil fuel
1832,on,2030,legislated,low,low,high,ref,no,high,71.99002239,fossil fuel
1836,on,2030,legislated,high,low,high,ref,no,high,74.06211476,fossil fuel
1840,on,2030,legislated,ref,low,ref,ref,yes,high,72.8235344,fossil fuel
1844,on,2030,legislated,low,low,ref,ref,yes,high,71.98501927,fossil fuel
1848,on,2030,legislated,high,low,ref,ref,yes,high,74.02410502,fossil fuel
1852,on,2030,legislated,ref,ref,low,ref,no,high,72.78518301,fossil fuel
1856,on,2030,legislated,ref,low,low,ref,yes,high,72.79825797,fossil fuel
1860,on,2030,legislated,low,low,low,ref,yes,high,71.96074255,fossil fuel
1864,on,2030,legislated,high,low,low,ref,yes,high,73.96721003,fossil fuel
1868,on,2030,legislated,ref,low,high,ref,yes,high,72.82873836,fossil fuel
1872,on,2030,legislated,low,low,high,ref,yes,high,71.99002239,fossil fuel
1876,on,2030,legislated,high,low,high,ref,yes,high,74.06211476,fossil fuel
1880,on,2030,legislated,ref,high,ref,ref,no,high,72.61951359,fossil fuel
1884,on,2030,legislated,low,high,ref,ref,no,high,71.98556105,fossil fuel
1888,on,2030,legislated,high,high,ref,ref,no,high,72.26200258,fossil fuel
1892,on,2030,legislated,ref,high,low,ref,no,high,72.62014873,fossil fuel
1896,on,2030,legislated,low,ref,low,ref,no,high,71.95426828,fossil fuel
1900,on,2030,legislated,low,high,low,ref,no,high,71.95484824,fossil fuel
1904,on,2030,legislated,high,high,low,ref,no,high,72.33034738,fossil fuel
1908,on,2030,legislated,ref,high,high,ref,no,high,72.61872304,fossil fuel
1912,on,2030,legislated,low,high,high,ref,no,high,71.98597664,fossil fuel
1916,on,2030,legislated,high,high,high,ref,no,high,72.24705752,fossil fuel
1920,on,2030,legislated,ref,high,ref,ref,yes,high,72.61951359,fossil fuel
1924,on,2030,legislated,low,high,ref,ref,yes,high,71.98556105,fossil fuel
1928,on,2030,legislated,high,high,ref,ref,yes,high,72.26200258,fossil fuel
1932,on,2030,legislated,ref,high,low,ref,yes,high,72.62014873,fossil fuel
1936,on,2030,legislated,low,high,low,ref,yes,high,71.95484824,fossil fuel
1940,on,2030,legislated,high,ref,low,ref,no,high,72.95522984,fossil fuel
1944,on,2030,legislated,high,high,low,ref,yes,high,72.33034738,fossil fuel
1948,on,2030,legislated,ref,high,high,ref,yes,high,72.61872304,fossil fuel
1952,on,2030,legislated,low,high,high,ref,yes,high,71.98597664,fossil fuel
1956,on,2030,legislated,high,high,high,ref,yes,high,72.24705752,fossil fuel
1960,on,2030,legislated,ref,ref,ref,low,no,high,73.27787073,fossil fuel
1964,on,2030,legislated,low,ref,ref,low,no,high,73.5426669,fossil fuel
1968,on,2030,legislated,high,ref,ref,low,no,high,73.87068307,fossil fuel
1972,on,2030,legislated,ref,ref,low,low,no,high,73.30101733,fossil fuel
1976,on,2030,legislated,low,ref,low,low,no,high,73.55272344,fossil fuel
1980,on,2030,legislated,high,ref,low,low,no,high,73.87025991,fossil fuel
1984,on,2030,legislated,ref,ref,high,ref,no,high,72.81533816,fossil fuel
1988,on,2030,legislated,ref,ref,high,low,no,high,73.270698,fossil fuel
1992,on,2030,legislated,low,ref,high,low,no,high,73.54209559,fossil fuel
1996,on,2030,legislated,high,ref,high,low,no,high,73.87912282,fossil fuel
2000,on,2030,legislated,ref,ref,ref,low,yes,high,73.27787073,fossil fuel
2004,on,2030,legislated,low,ref,ref,low,yes,high,73.5426669,fossil fuel
2008,on,2030,legislated,high,ref,ref,low,yes,high,73.87068307,fossil fuel
2012,on,2030,legislated,ref,ref,low,low,yes,high,73.30101733,fossil fuel
2016,on,2030,legislated,low,ref,low,low,yes,high,73.55272344,fossil fuel
2020,on,2030,legislated,high,ref,low,low,yes,high,73.87025991,fossil fuel
2024,on,2030,legislated,ref,ref,high,low,yes,high,73.270698,fossil fuel
2028,on,2030,legislated,low,ref,high,ref,no,high,71.98430371,fossil fuel
2032,on,2030,legislated,low,ref,high,low,yes,high,73.54209559,fossil fuel
2036,on,2030,legislated,high,ref,high,low,yes,high,73.87912282,fossil fuel
2040,on,2030,legislated,ref,low,ref,low,no,high,74.39814688,fossil fuel
2044,on,2030,legislated,low,low,ref,low,no,high,73.67236426,fossil fuel
2048,on,2030,legislated,high,low,ref,low,no,high,74.79884607,fossil fuel
2052,on,2030,legislated,ref,low,low,low,no,high,74.39964081,fossil fuel
2056,on,2030,legislated,low,low,low,low,no,high,73.65380475,fossil fuel
2060,on,2030,legislated,high,low,low,low,no,high,74.79349582,fossil fuel
2064,on,2030,legislated,ref,low,high,low,no,high,74.40128551,fossil fuel
2068,on,2030,legislated,low,low,high,low,no,high,73.6774321,fossil fuel
2072,on,2030,legislated,high,ref,high,ref,no,high,72.96938653,fossil fuel
2076,on,2030,legislated,high,low,high,low,no,high,74.80015476,fossil fuel
2080,on,2030,legislated,ref,low,ref,low,yes,high,74.39814688,fossil fuel
2084,on,2030,legislated,low,low,ref,low,yes,high,73.67236426,fossil fuel
2088,on,2030,legislated,high,low,ref,low,yes,high,74.79884607,fossil fuel
2092,on,2030,legislated,ref,low,low,low,yes,high,74.39964081,fossil fuel
2096,on,2030,legislated,low,low,low,low,yes,high,73.65380475,fossil fuel
2100,on,2030,legislated,high,low,low,low,yes,high,74.79349582,fossil fuel
2104,on,2030,legislated,ref,low,high,low,yes,high,74.40128551,fossil fuel
2108,on,2030,legislated,low,low,high,low,yes,high,73.6774321,fossil fuel
2112,on,2030,legislated,high,low,high,low,yes,high,74.80015476,fossil fuel
2116,on,2030,legislated,ref,ref,ref,ref,yes,high,72.81025146,fossil fuel
2120,on,2030,legislated,ref,high,ref,low,no,high,73.10181682,fossil fuel
2124,on,2030,legislated,low,high,ref,low,no,high,73.47591782,fossil fuel
2128,on,2030,legislated,high,high,ref,low,no,high,73.4692895,fossil fuel
2132,on,2030,legislated,ref,high,low,low,no,high,73.10736891,fossil fuel
2136,on,2030,legislated,low,high,low,low,no,high,73.4840285,fossil fuel
2140,on,2030,legislated,high,high,low,low,no,high,73.43084586,fossil fuel
2144,on,2030,legislated,ref,high,high,low,no,high,73.11779904,fossil fuel
2148,on,2030,legislated,low,high,high,low,no,high,73.47876332,fossil fuel
2152,on,2030,legislated,high,high,high,low,no,high,73.49579421,fossil fuel
2156,on,2030,legislated,ref,high,ref,low,yes,high,73.10181682,fossil fuel
5184,on,2030,netzero,ref,ref,ref,ref,no,high,65.45624295,fossil fuel
5188,on,2030,netzero,low,ref,ref,ref,no,high,67.49258194,fossil fuel
5192,on,2030,netzero,low,ref,ref,ref,yes,high,67.49327177,fossil fuel
5196,on,2030,netzero,low,high,ref,low,yes,high,73.61074006,fossil fuel
5200,on,2030,netzero,high,high,ref,low,yes,high,73.68386611,fossil fuel
5204,on,2030,netzero,ref,high,low,low,yes,high,74.21403696,fossil fuel
5208,on,2030,netzero,low,high,low,low,yes,high,73.59016011,fossil fuel
5212,on,2030,netzero,high,high,low,low,yes,high,73.74629236,fossil fuel
5216,on,2030,netzero,ref,high,high,low,yes,high,74.19475297,fossil fuel
5220,on,2030,netzero,low,high,high,low,yes,high,73.6135065,fossil fuel
5224,on,2030,netzero,high,high,high,low,yes,high,73.67684981,fossil fuel
5228,on,2030,netzero,high,ref,ref,ref,yes,high,65.20258579,fossil fuel
5232,on,2030,netzero,ref,ref,low,ref,yes,high,65.39207959,fossil fuel
5236,on,2030,netzero,low,ref,low,ref,yes,high,67.49555061,fossil fuel
5240,on,2030,netzero,high,ref,low,ref,yes,high,65.18599524,fossil fuel
5244,on,2030,netzero,ref,ref,high,ref,yes,high,65.4629094,fossil fuel
5248,on,2030,netzero,low,ref,high,ref,yes,high,67.50077835,fossil fuel
5252,on,2030,netzero,high,ref,high,ref,yes,high,65.20404113,fossil fuel
5256,on,2030,netzero,ref,low,ref,ref,no,high,69.56949431,fossil fuel
5260,on,2030,netzero,low,low,ref,ref,no,high,69.91672869,fossil fuel
5264,on,2030,netzero,high,ref,ref,ref,no,high,65.20089565,fossil fuel
5268,on,2030,netzero,high,low,ref,ref,no,high,68.05484899,fossil fuel
5272,on,2030,netzero,ref,low,low,ref,no,high,69.53696876,fossil fuel
5276,on,2030,netzero,low,low,low,ref,no,high,69.89459605,fossil fuel
5280,on,2030,netzero,high,low,low,ref,no,high,68.20073638,fossil fuel
5284,on,2030,netzero,ref,low,high,ref,no,high,69.34767429,fossil fuel
5288,on,2030,netzero,low,low,high,ref,no,high,70.00718767,fossil fuel
5292,on,2030,netzero,high,low,high,ref,no,high,68.20265506,fossil fuel
5296,on,2030,netzero,ref,low,ref,ref,yes,high,69.3807661,fossil fuel
5300,on,2030,netzero,low,low,ref,ref,yes,high,69.91695425,fossil fuel
5304,on,2030,netzero,high,low,ref,ref,yes,high,68.15533069,fossil fuel
5308,on,2030,netzero,ref,ref,low,ref,no,high,65.47294024,fossil fuel
5312,on,2030,netzero,ref,low,low,ref,yes,high,69.58368445,fossil fuel
5316,on,2030,netzero,low,low,low,ref,yes,high,69.88786998,fossil fuel
5320,on,2030,netzero,high,low,low,ref,yes,high,68.17779167,fossil fuel
5324,on,2030,netzero,ref,low,high,ref,yes,high,69.51191464,fossil fuel
5328,on,2030,netzero,low,low,high,ref,yes,high,70.02030321,fossil fuel
5332,on,2030,netzero,high,low,high,ref,yes,high,68.26280432,fossil fuel
5336,on,2030,netzero,ref,high,ref,ref,no,high,64.55691699,fossil fuel
5340,on,2030,netzero,low,high,ref,ref,no,high,65.64471645,fossil fuel
5344,on,2030,netzero,high,high,ref,ref,no,high,65.70665842,fossil fuel
5348,on,2030,netzero,ref,high,low,ref,no,high,64.4154447,fossil fuel
5352,on,2030,netzero,low,ref,low,ref,no,high,67.48168241,fossil fuel
5356,on,2030,netzero,low,high,low,ref,no,high,65.70638889,fossil fuel
5360,on,2030,netzero,high,high,low,ref,no,high,65.59051507,fossil fuel
5364,on,2030,netzero,ref,high,high,ref,no,high,64.57115576,fossil fuel
5368,on,2030,netzero,low,high,high,ref,no,high,65.62921575,fossil fuel
5372,on,2030,netzero,high,high,high,ref,no,high,65.71076927,fossil fuel
5376,on,2030,netzero,ref,high,ref,ref,yes,high,64.55523963,fossil fuel
5380,on,2030,netzero,low,high,ref,ref,yes,high,65.64369015,fossil fuel
5384,on,2030,netzero,high,high,ref,ref,yes,high,65.62962184,fossil fuel
5388,on,2030,netzero,ref,high,low,ref,yes,high,64.56983674,fossil fuel
5392,on,2030,netzero,low,high,low,ref,yes,high,65.67811806,fossil fuel
5396,on,2030,netzero,high,ref,low,ref,no,high,65.0441155,fossil fuel
5400,on,2030,netzero,high,high,low,ref,yes,high,65.7153958,fossil fuel
5404,on,2030,netzero,ref,high,high,ref,yes,high,64.57133588,fossil fuel
5408,on,2030,netzero,low,high,high,ref,yes,high,65.65985572,fossil fuel
5412,on,2030,netzero,high,high,high,ref,yes,high,65.70938091,fossil fuel
5416,on,2030,netzero,ref,ref,ref,low,no,high,74.301852,fossil fuel
5420,on,2030,netzero,low,ref,ref,low,no,high,73.76602451,fossil fuel
5424,on,2030,netzero,high,ref,ref,low,no,high,73.92561804,fossil fuel
5428,on,2030,netzero,ref,ref,low,low,no,high,74.348568,fossil fuel
5432,on,2030,netzero,low,ref,low,low,no,high,73.75904412,fossil fuel
5436,on,2030,netzero,high,ref,low,low,no,high,73.9974754,fossil fuel
5440,on,2030,netzero,ref,ref,high,ref,no,high,65.36789186,fossil fuel
5444,on,2030,netzero,ref,ref,high,low,no,high,74.30476739,fossil fuel
5448,on,2030,netzero,low,ref,high,low,no,high,73.76520612,fossil fuel
5452,on,2030,netzero,high,ref,high,low,no,high,73.90974924,fossil fuel
5456,on,2030,netzero,ref,ref,ref,low,yes,high,74.31734971,fossil fuel
5460,on,2030,netzero,low,ref,ref,low,yes,high,73.76604607,fossil fuel
5464,on,2030,netzero,high,ref,ref,low,yes,high,73.92890381,fossil fuel
5468,on,2030,netzero,ref,ref,low,low,yes,high,74.32251052,fossil fuel
5472,on,2030,netzero,low,ref,low,low,yes,high,73.7592784,fossil fuel
5476,on,2030,netzero,high,ref,low,low,yes,high,74.00429395,fossil fuel
5480,on,2030,netzero,ref,ref,high,low,yes,high,74.29967723,fossil fuel
5484,on,2030,netzero,low,ref,high,ref,no,high,67.49578973,fossil fuel
5488,on,2030,netzero,low,ref,high,low,yes,high,73.76486484,fossil fuel
5492,on,2030,netzero,high,ref,high,low,yes,high,73.87139551,fossil fuel
5496,on,2030,netzero,ref,low,ref,low,no,high,74.82145929,fossil fuel
5500,on,2030,netzero,low,low,ref,low,no,high,73.94490817,fossil fuel
5504,on,2030,netzero,high,low,ref,low,no,high,75.58673887,fossil fuel
5508,on,2030,netzero,ref,low,low,low,no,high,74.81069152,fossil fuel
5512,on,2030,netzero,low,low,low,low,no,high,73.94026379,fossil fuel
5516,on,2030,netzero,high,low,low,low,no,high,75.5695789,fossil fuel
5520,on,2030,netzero,ref,low,high,low,no,high,74.82759993,fossil fuel
5524,on,2030,netzero,low,low,high,low,no,high,73.95708,fossil fuel
5528,on,2030,netzero,high,ref,high,ref,no,high,65.20445851,fossil fuel
5532,on,2030,netzero,high,low,high,low,no,high,75.58881196,fossil fuel
5536,on,2030,netzero,ref,low,ref,low,yes,high,74.81951494,fossil fuel
5540,on,2030,netzero,low,low,ref,low,yes,high,73.95138838,fossil fuel
5544,on,2030,netzero,high,low,ref,low,yes,high,75.59127272,fossil fuel
5548,on,2030,netzero,ref,low,low,low,yes,high,74.80997614,fossil fuel
5552,on,2030,netzero,low,low,low,low,yes,high,73.94083937,fossil fuel
5556,on,2030,netzero,high,low,low,low,yes,high,75.56935846,fossil fuel
5560,on,2030,netzero,ref,low,high,low,yes,high,74.81625879,fossil fuel
5564,on,2030,netzero,low,low,high,low,yes,high,73.94205445,fossil fuel
5568,on,2030,netzero,high,low,high,low,yes,high,75.58386989,fossil fuel
5572,on,2030,netzero,ref,ref,ref,ref,yes,high,65.37416467,fossil fuel
5576,on,2030,netzero,ref,high,ref,low,no,high,74.21647973,fossil fuel
5580,on,2030,netzero,low,high,ref,low,no,high,73.6136307,fossil fuel
5584,on,2030,netzero,high,high,ref,low,no,high,73.67239199,fossil fuel
5588,on,2030,netzero,ref,high,low,low,no,high,74.20121745,fossil fuel
5592,on,2030,netzero,low,high,low,low,no,high,73.59365679,fossil fuel
5596,on,2030,netzero,high,high,low,low,no,high,73.75123694,fossil fuel
5600,on,2030,netzero,ref,high,high,low,no,high,74.1933891,fossil fuel
5604,on,2030,netzero,low,high,high,low,no,high,73.61331536,fossil fuel
5608,on,2030,netzero,high,high,high,low,no,high,73.6579142,fossil fuel
5612,on,2030,netzero,ref,high,ref,low,yes,high,74.18498658,fossil fuel
8640,on,2030,netzero,ref,ref,ref,ref,no,low,65.45624295,fossil fuel
8644,on,2030,netzero,low,ref,ref,ref,no,low,67.49258194,fossil fuel
8648,on,2030,netzero,low,ref,ref,ref,yes,low,67.49327177,fossil fuel
8652,on,2030,netzero,low,high,ref,low,yes,low,73.61074006,fossil fuel
8656,on,2030,netzero,high,high,ref,low,yes,low,73.68386611,fossil fuel
8660,on,2030,netzero,ref,high,low,low,yes,low,74.21403696,fossil fuel
8664,on,2030,netzero,low,high,low,low,yes,low,73.59016011,fossil fuel
8668,on,2030,netzero,high,high,low,low,yes,low,73.74629236,fossil fuel
8672,on,2030,netzero,ref,high,high,low,yes,low,74.18804514,fossil fuel
8676,on,2030,netzero,low,high,high,low,yes,low,73.6135065,fossil fuel
8680,on,2030,netzero,high,high,high,low,yes,low,73.67684981,fossil fuel
8684,on,2030,netzero,high,ref,ref,ref,yes,low,65.20258579,fossil fuel
8688,on,2030,netzero,ref,ref,low,ref,yes,low,65.39207959,fossil fuel
8692,on,2030,netzero,low,ref,low,ref,yes,low,67.49555061,fossil fuel
8696,on,2030,netzero,high,ref,low,ref,yes,low,65.18599524,fossil fuel
8700,on,2030,netzero,ref,ref,high,ref,yes,low,65.4629094,fossil fuel
8704,on,2030,netzero,low,ref,high,ref,yes,low,67.50077835,fossil fuel
8708,on,2030,netzero,high,ref,high,ref,yes,low,65.20404113,fossil fuel
8712,on,2030,netzero,ref,low,ref,ref,no,low,69.56949431,fossil fuel
8716,on,2030,netzero,low,low,ref,ref,no,low,69.91672869,fossil fuel
8720,on,2030,netzero,high,ref,ref,ref,no,low,65.06616926,fossil fuel
8724,on,2030,netzero,high,low,ref,ref,no,low,68.05484899,fossil fuel
8728,on,2030,netzero,ref,low,low,ref,no,low,69.53696876,fossil fuel
8732,on,2030,netzero,low,low,low,ref,no,low,69.89459605,fossil fuel
8736,on,2030,netzero,high,low,low,ref,no,low,68.20073638,fossil fuel
8740,on,2030,netzero,ref,low,high,ref,no,low,69.34767429,fossil fuel
8744,on,2030,netzero,low,low,high,ref,no,low,70.00718767,fossil fuel
8748,on,2030,netzero,high,low,high,ref,no,low,68.20265506,fossil fuel
8752,on,2030,netzero,ref,low,ref,ref,yes,low,69.3807661,fossil fuel
8756,on,2030,netzero,low,low,ref,ref,yes,low,69.91695425,fossil fuel
8760,on,2030,netzero,high,low,ref,ref,yes,low,68.15533069,fossil fuel
8764,on,2030,netzero,ref,ref,low,ref,no,low,65.47294024,fossil fuel
8768,on,2030,netzero,ref,low,low,ref,yes,low,69.58368445,fossil fuel
8772,on,2030,netzero,low,low,low,ref,yes,low,69.88786998,fossil fuel
8776,on,2030,netzero,high,low,low,ref,yes,low,68.17779167,fossil fuel
8780,on,2030,netzero,ref,low,high,ref,yes,low,69.51191464,fossil fuel
8784,on,2030,netzero,low,low,high,ref,yes,low,70.02030321,fossil fuel
8788,on,2030,netzero,high,low,high,ref,yes,low,68.26280432,fossil fuel
8792,on,2030,netzero,ref,high,ref,ref,no,low,64.55691699,fossil fuel
8796,on,2030,netzero,low,high,ref,ref,no,low,65.64471645,fossil fuel
8800,on,2030,netzero,high,high,ref,ref,no,low,65.70665842,fossil fuel
8804,on,2030,netzero,ref,high,low,ref,no,low,64.4154447,fossil fuel
8808,on,2030,netzero,low,ref,low,ref,no,low,67.48168241,fossil fuel
8812,on,2030,netzero,low,high,low,ref,no,low,65.70638889,fossil fuel
8816,on,2030,netzero,high,high,low,ref,no,low,65.71178952,fossil fuel
8820,on,2030,netzero,ref,high,high,ref,no,low,64.57115576,fossil fuel
8824,on,2030,netzero,low,high,high,ref,no,low,65.62921575,fossil fuel
8828,on,2030,netzero,high,high,high,ref,no,low,65.71076927,fossil fuel
8832,on,2030,netzero,ref,high,ref,ref,yes,low,64.55523963,fossil fuel
8836,on,2030,netzero,low,high,ref,ref,yes,low,65.64369015,fossil fuel
8840,on,2030,netzero,high,high,ref,ref,yes,low,65.62962184,fossil fuel
8844,on,2030,netzero,ref,high,low,ref,yes,low,64.56983674,fossil fuel
8848,on,2030,netzero,low,high,low,ref,yes,low,65.67811806,fossil fuel
8852,on,2030,netzero,high,ref,low,ref,no,low,65.0441155,fossil fuel
8856,on,2030,netzero,high,high,low,ref,yes,low,65.7153958,fossil fuel
8860,on,2030,netzero,ref,high,high,ref,yes,low,64.57133588,fossil fuel
8864,on,2030,netzero,low,high,high,ref,yes,low,65.65985572,fossil fuel
8868,on,2030,netzero,high,high,high,ref,yes,low,65.70938091,fossil fuel
8872,on,2030,netzero,ref,ref,ref,low,no,low,74.301852,fossil fuel
8876,on,2030,netzero,low,ref,ref,low,no,low,73.76602451,fossil fuel
8880,on,2030,netzero,high,ref,ref,low,no,low,73.92561804,fossil fuel
8884,on,2030,netzero,ref,ref,low,low,no,low,74.348568,fossil fuel
8888,on,2030,netzero,low,ref,low,low,no,low,73.75904412,fossil fuel
8892,on,2030,netzero,high,ref,low,low,no,low,73.9974754,fossil fuel
8896,on,2030,netzero,ref,ref,high,ref,no,low,65.36789186,fossil fuel
8900,on,2030,netzero,ref,ref,high,low,no,low,74.30476739,fossil fuel
8904,on,2030,netzero,low,ref,high,low,no,low,73.76520612,fossil fuel
8908,on,2030,netzero,high,ref,high,low,no,low,73.90974924,fossil fuel
8912,on,2030,netzero,ref,ref,ref,low,yes,low,74.31734971,fossil fuel
8916,on,2030,netzero,low,ref,ref,low,yes,low,73.76604607,fossil fuel
8920,on,2030,netzero,high,ref,ref,low,yes,low,73.92890381,fossil fuel
8924,on,2030,netzero,ref,ref,low,low,yes,low,74.32251052,fossil fuel
8928,on,2030,netzero,low,ref,low,low,yes,low,73.7592784,fossil fuel
8932,on,2030,netzero,high,ref,low,low,yes,low,74.00429395,fossil fuel
8936,on,2030,netzero,ref,ref,high,low,yes,low,74.29967723,fossil fuel
8940,on,2030,netzero,low,ref,high,ref,no,low,67.49578973,fossil fuel
8944,on,2030,netzero,low,ref,high,low,yes,low,73.76486484,fossil fuel
8948,on,2030,netzero,high,ref,high,low,yes,low,73.87139551,fossil fuel
8952,on,2030,netzero,ref,low,ref,low,no,low,74.82145929,fossil fuel
8956,on,2030,netzero,low,low,ref,low,no,low,73.94490817,fossil fuel
8960,on,2030,netzero,high,low,ref,low,no,low,75.58673887,fossil fuel
8964,on,2030,netzero,ref,low,low,low,no,low,74.81069152,fossil fuel
8968,on,2030,netzero,low,low,low,low,no,low,73.94026379,fossil fuel
8972,on,2030,netzero,high,low,low,low,no,low,75.5695789,fossil fuel
8976,on,2030,netzero,ref,low,high,low,no,low,74.82759993,fossil fuel
8980,on,2030,netzero,low,low,high,low,no,low,73.95708,fossil fuel
8984,on,2030,netzero,high,ref,high,ref,no,low,65.20445851,fossil fuel
8988,on,2030,netzero,high,low,high,low,no,low,75.58881196,fossil fuel
8992,on,2030,netzero,ref,low,ref,low,yes,low,74.81951494,fossil fuel
8996,on,2030,netzero,low,low,ref,low,yes,low,73.95138838,fossil fuel
9000,on,2030,netzero,high,low,ref,low,yes,low,75.59127272,fossil fuel
9004,on,2030,netzero,ref,low,low,low,yes,low,74.80997614,fossil fuel
9008,on,2030,netzero,low,low,low,low,yes,low,73.94083937,fossil fuel
9012,on,2030,netzero,high,low,low,low,yes,low,75.56935846,fossil fuel
9016,on,2030,netzero,ref,low,high,low,yes,low,74.81625879,fossil fuel
9020,on,2030,netzero,low,low,high,low,yes,low,73.94205445,fossil fuel
9024,on,2030,netzero,high,low,high,low,yes,low,75.58386989,fossil fuel
9028,on,2030,netzero,ref,ref,ref,ref,yes,low,65.37416467,fossil fuel
9032,on,2030,netzero,ref,high,ref,low,no,low,74.21647973,fossil fuel
9036,on,2030,netzero,low,high,ref,low,no,low,73.6136307,fossil fuel
9040,on,2030,netzero,high,high,ref,low,no,low,73.67239199,fossil fuel
9044,on,2030,netzero,ref,high,low,low,no,low,74.20121745,fossil fuel
